tecnico_id,vivienda_id,fecha_asignacion
3,SIM-2026-0001,28-08-2026
2,SIM-2026-0002,28-08-2026
2,SIM-2026-0003,28-08-2026
6,SIM-2025-0004,28-08-2026
1,SIM-2025-0007,28-08-2026
5,SIM-2025-0008,28-08-2026
2,SIM-2026-0011,28-08-2026
4,SIM-2026-0013,28-08-2026
6,SIM-2025-0017,28-08-2026
4,SIM-2026-0020,28-08-2026
3,SIM-2025-0021,28-08-2026
1,SIM-2026-0025,28-08-2026
1,SIM-2025-0026,28-08-2026
5,SIM-2025-0028,28-08-2026
1,SIM-2025-0033,28-08-2026
2,SIM-2026-0034,28-08-2026
2,SIM-2023-0037,28-08-2026
4,SIM-2026-0038,28-08-2026
3,SIM-2023-0043,28-08-2026
5,SIM-2026-0044,28-08-2026
2,SIM-2024-0047,28-08-2026
1,SIM-2025-0051,28-08-2026
4,SIM-2026-0062,28-08-2026
1,SIM-2026-0063,28-08-2026
6,SIM-2026-0073,28-08-2026
1,SIM-2025-0074,28-08-2026
2,SIM-2025-0079,28-08-2026
3,SIM-2025-0083,28-08-2026
1,SIM-2026-0085,28-08-2026
3,SIM-2024-0088,28-08-2026
2,SIM-2024-0089,28-08-2026
1,SIM-2026-0091,28-08-2026
1,SIM-2025-0093,28-08-2026
3,SIM-2023-0094,28-08-2026
4,SIM-2025-0095,28-08-2026
1,SIM-2025-0097,28-08-2026
1,SIM-2025-0098,28-08-2026
4,SIM-2024-0099,28-08-2026
5,SIM-2025-0100,28-08-2026
1,SIM-2025-0104,28-08-2026
4,SIM-2026-0106,28-08-2026
3,SIM-2025-0107,28-08-2026
6,SIM-2026-0110,28-08-2026
1,SIM-2024-0118,28-08-2026
2,SIM-2026-0120,28-08-2026
1,SIM-2026-0123,28-08-2026
1,SIM-2025-0124,28-08-2026
1,SIM-2025-0125,28-08-2026
5,SIM-2025-0127,28-08-2026
1,SIM-2025-0128,28-08-2026
1,SIM-2026-0130,28-08-2026
1,SIM-2026-0142,28-08-2026
3,SIM-2025-0144,28-08-2026
6,SIM-2026-0146,28-08-2026
1,SIM-2026-0147,28-08-2026
1,SIM-2026-0150,28-08-2026
1,SIM-2026-0152,28-08-2026
6,SIM-2025-0165,28-08-2026
1,SIM-2026-0167,28-08-2026
6,SIM-2026-0169,28-08-2026
4,SIM-2025-0172,28-08-2026
1,SIM-2025-0177,28-08-2026
3,SIM-2026-0181,28-08-2026
6,SIM-2026-0183,28-08-2026
1,SIM-2026-0184,28-08-2026
1,SIM-2025-0186,28-08-2026
1,SIM-2024-0187,28-08-2026
1,SIM-2026-0188,28-08-2026
3,SIM-2025-0190,28-08-2026
3,SIM-2026-0191,28-08-2026
1,SIM-2025-0192,28-08-2026
6,SIM-2025-0194,28-08-2026
1,SIM-2024-0195,28-08-2026
1,SIM-2025-0197,28-08-2026
5,SIM-2026-0198,28-08-2026
1,SIM-2026-0199,28-08-2026
1,SIM-2024-0201,28-08-2026
3,SIM-2025-0204,28-08-2026
1,SIM-2025-0206,28-08-2026
4,SIM-2025-0207,28-08-2026
2,SIM-2026-0215,28-08-2026
3,SIM-2025-0217,28-08-2026
3,SIM-2025-0221,28-08-2026
5,SIM-2024-0222,28-08-2026
1,SIM-2025-0228,28-08-2026
4,SIM-2026-0229,28-08-2026
3,SIM-2025-0232,28-08-2026
1,SIM-2026-0234,28-08-2026
5,SIM-2026-0236,28-08-2026
1,SIM-2024-0238,28-08-2026
1,SIM-2026-0241,28-08-2026
1,SIM-2025-0243,28-08-2026
5,SIM-2023-0244,28-08-2026
3,SIM-2025-0247,28-08-2026
1,SIM-2025-0252,28-08-2026
1,SIM-2025-0253,28-08-2026
1,SIM-2025-0258,28-08-2026
5,SIM-2026-0263,28-08-2026
4,SIM-2025-0264,28-08-2026
1,SIM-2026-0265,28-08-2026
5,SIM-2025-0266,28-08-2026
1,SIM-2025-0267,28-08-2026
1,SIM-2026-0270,28-08-2026
1,SIM-2026-0273,28-08-2026
1,SIM-2025-0275,28-08-2026
6,SIM-2025-0277,28-08-2026
6,SIM-2025-0278,28-08-2026
2,SIM-2024-0281,28-08-2026
1,SIM-2026-0283,28-08-2026
3,SIM-2023-0287,28-08-2026
2,SIM-2026-0290,28-08-2026
1,SIM-2025-0293,28-08-2026
2,SIM-2025-0294,28-08-2026
1,SIM-2026-0295,28-08-2026
1,SIM-2026-0297,28-08-2026
2,SIM-2026-0299,28-08-2026
1,SIM-2025-0306,28-08-2026
2,SIM-2024-0307,28-08-2026
4,SIM-2025-0309,28-08-2026
1,SIM-2026-0313,28-08-2026
6,SIM-2025-0314,28-08-2026
1,SIM-2026-0315,28-08-2026
1,SIM-2025-0316,28-08-2026
1,SIM-2023-0319,28-08-2026
1,SIM-2025-0321,28-08-2026
6,SIM-2025-0324,28-08-2026
1,SIM-2025-0329,28-08-2026
4,SIM-2026-0331,28-08-2026
5,SIM-2025-0336,28-08-2026
5,SIM-2026-0337,28-08-2026
5,SIM-2025-0338,28-08-2026
1,SIM-2026-0339,28-08-2026
1,SIM-2025-0340,28-08-2026
2,SIM-2025-0341,28-08-2026
3,SIM-2026-0343,28-08-2026
4,SIM-2025-0345,28-08-2026
6,SIM-2026-0346,28-08-2026
1,SIM-2026-0355,28-08-2026
1,SIM-2025-0358,28-08-2026
1,SIM-2025-0361,28-08-2026
1,SIM-2026-0362,28-08-2026
6,SIM-2026-0366,28-08-2026
1,SIM-2026-0369,28-08-2026
5,SIM-2025-0370,28-08-2026
6,SIM-2025-0374,28-08-2026
3,SIM-2025-0378,28-08-2026
4,SIM-2026-0379,28-08-2026
2,SIM-2026-0380,28-08-2026
3,SIM-2026-0383,28-08-2026
4,SIM-2025-0384,28-08-2026
2,SIM-2025-0387,28-08-2026
2,SIM-2025-0388,28-08-2026
2,SIM-2026-0393,28-08-2026
1,SIM-2026-0395,28-08-2026
2,SIM-2026-0399,28-08-2026
1,SIM-2025-0400,28-08-2026
1,SIM-2025-0401,28-08-2026
4,SIM-2026-0404,28-08-2026
1,SIM-2025-0411,28-08-2026
3,SIM-2025-0416,28-08-2026
5,SIM-2025-0418,28-08-2026
1,SIM-2025-0419,28-08-2026
1,SIM-2026-0424,28-08-2026
4,SIM-2026-0430,28-08-2026
1,SIM-2025-0431,28-08-2026
1,SIM-2025-0432,28-08-2026
2,SIM-2025-0434,28-08-2026
3,SIM-2026-0435,28-08-2026
2,SIM-2025-0439,28-08-2026
3,SIM-2024-0441,28-08-2026
3,SIM-2025-0443,28-08-2026
3,SIM-2025-0446,28-08-2026
1,SIM-2026-0449,28-08-2026
2,SIM-2026-0453,28-08-2026
1,SIM-2026-0455,28-08-2026
1,SIM-2025-0457,28-08-2026
1,SIM-2026-0463,28-08-2026
6,SIM-2025-0464,28-08-2026
2,SIM-2026-0465,28-08-2026
1,SIM-2024-0469,28-08-2026
1,SIM-2026-0470,28-08-2026
5,SIM-2025-0474,28-08-2026
1,SIM-2026-0477,28-08-2026
5,SIM-2024-0479,28-08-2026
3,SIM-2024-0482,28-08-2026
1,SIM-2025-0483,28-08-2026
2,SIM-2025-0490,28-08-2026
1,SIM-2026-0492,28-08-2026
4,SIM-2024-0493,28-08-2026
3,SIM-2025-0495,28-08-2026
3,SIM-2025-0502,28-08-2026
1,SIM-2023-0504,28-08-2026
1,SIM-2026-0505,28-08-2026
4,SIM-2023-0508,28-08-2026
2,SIM-2024-0512,28-08-2026
3,SIM-2025-0518,28-08-2026
1,SIM-2025-0519,28-08-2026
1,SIM-2025-0523,28-08-2026
2,SIM-2026-0527,28-08-2026
3,SIM-2025-0529,28-08-2026
1,SIM-2025-0530,28-08-2026
1,SIM-2026-0533,28-08-2026
1,SIM-2023-0535,28-08-2026
6,SIM-2024-0537,28-08-2026
4,SIM-2026-0539,28-08-2026
6,SIM-2026-0540,28-08-2026
1,SIM-2025-0541,28-08-2026
5,SIM-2026-0543,28-08-2026
2,SIM-2026-0544,28-08-2026
1,SIM-2025-0546,28-08-2026
1,SIM-2026-0552,28-08-2026
1,SIM-2026-0555,28-08-2026
5,SIM-2025-0557,28-08-2026
1,SIM-2024-0558,28-08-2026
3,SIM-2026-0567,28-08-2026
4,SIM-2026-0568,28-08-2026
3,SIM-2025-0572,28-08-2026
4,SIM-2025-0576,28-08-2026
4,SIM-2025-0577,28-08-2026
4,SIM-2023-0580,28-08-2026
3,SIM-2026-0582,28-08-2026
3,SIM-2025-0583,28-08-2026
4,SIM-2025-0584,28-08-2026
6,SIM-2024-0585,28-08-2026
1,SIM-2024-0586,28-08-2026
1,SIM-2026-0587,28-08-2026
5,SIM-2026-0594,28-08-2026
6,SIM-2025-0598,28-08-2026
3,SIM-2026-0602,28-08-2026
1,SIM-2025-0605,28-08-2026
3,SIM-2025-0608,28-08-2026
2,SIM-2026-0611,28-08-2026
1,SIM-2025-0612,28-08-2026
3,SIM-2025-0615,28-08-2026
2,SIM-2026-0617,28-08-2026
5,SIM-2026-0619,28-08-2026
1,SIM-2025-0621,28-08-2026
4,SIM-2026-0622,28-08-2026
1,SIM-2025-0623,28-08-2026
1,SIM-2026-0624,28-08-2026
1,SIM-2024-0625,28-08-2026
1,SIM-2024-0628,28-08-2026
1,SIM-2023-0630,28-08-2026
4,SIM-2026-0632,28-08-2026
