vivienda_id,rubro_id,avance_pct,fecha_actualizacion
SIM-2025-0001,1,100,29-08-2026
SIM-2025-0001,2,100,29-08-2026
SIM-2025-0001,3,100,29-08-2026
SIM-2025-0001,4,100,29-08-2026
SIM-2025-0001,5,100,29-08-2026
SIM-2025-0001,6,18,29-08-2026
SIM-2025-0001,7,0,29-08-2026
SIM-2025-0001,8,0,29-08-2026
SIM-2025-0001,9,0,29-08-2026
SIM-2025-0001,10,0,29-08-2026
SIM-2025-0001,11,0,29-08-2026
SIM-2025-0001,12,0,29-08-2026
SIM-2025-0001,13,0,29-08-2026
SIM-2025-0001,14,0,29-08-2026
SIM-2025-0001,15,0,29-08-2026
SIM-2026-0002,1,100,29-08-2026
SIM-2026-0002,2,100,29-08-2026
SIM-2026-0002,3,100,29-08-2026
SIM-2026-0002,4,100,29-08-2026
SIM-2026-0002,5,100,29-08-2026
SIM-2026-0002,6,70,29-08-2026
SIM-2026-0002,7,0,29-08-2026
SIM-2026-0002,8,0,29-08-2026
SIM-2026-0002,9,0,29-08-2026
SIM-2026-0002,10,0,29-08-2026
SIM-2026-0002,11,0,29-08-2026
SIM-2026-0002,12,0,29-08-2026
SIM-2026-0002,13,0,29-08-2026
SIM-2026-0002,14,0,29-08-2026
SIM-2026-0002,15,0,29-08-2026
SIM-2025-0003,1,100,29-08-2026
SIM-2025-0003,2,12,29-08-2026
SIM-2025-0003,3,0,29-08-2026
SIM-2025-0003,4,0,29-08-2026
SIM-2025-0003,5,0,29-08-2026
SIM-2025-0003,6,0,29-08-2026
SIM-2025-0003,7,0,29-08-2026
SIM-2025-0003,8,0,29-08-2026
SIM-2025-0003,9,0,29-08-2026
SIM-2025-0003,10,0,29-08-2026
SIM-2025-0003,11,0,29-08-2026
SIM-2025-0003,12,0,29-08-2026
SIM-2025-0003,13,0,29-08-2026
SIM-2025-0003,14,0,29-08-2026
SIM-2025-0003,15,0,29-08-2026
SIM-2025-0004,1,100,29-08-2026
SIM-2025-0004,2,100,29-08-2026
SIM-2025-0004,3,100,29-08-2026
SIM-2025-0004,4,100,29-08-2026
SIM-2025-0004,5,100,29-08-2026
SIM-2025-0004,6,50,29-08-2026
SIM-2025-0004,7,0,29-08-2026
SIM-2025-0004,8,0,29-08-2026
