vivienda_id,tecnico_id,fecha,tipo,avance_verificado,estado_relevado,observacion,diferencia_ong
SIM-2026-0002,2,27-08-2026,primera,28,Iniciada,,6
SIM-2025-0003,2,27-08-2026,primera,5,Iniciada,Sin actividad registrada en visita.,12
SIM-2025-0003,2,27-08-2026,segunda,19,Iniciada,,-2
SIM-2026-0004,6,27-08-2026,primera,0,Iniciada,Equipo de trabajo reducido.,11
SIM-2026-0004,6,27-08-2026,segunda,2,Iniciada,,0
SIM-2026-0011,1,27-08-2026,primera,19,Iniciada,Equipo de trabajo reducido.,6
SIM-2026-0011,1,27-08-2026,segunda,25,Iniciada,Equipo de trabajo reducido.,0
SIM-2025-0013,1,27-08-2026,primera,38,Avanzada,Se verificó avance conforme al cronograma.,-2
SIM-2025-0013,1,27-08-2026,segunda,38,Avanzada,,-1
SIM-2025-0016,1,27-08-2026,primera,68,Avanzada,,11
SIM-2025-0018,1,27-08-2026,primera,11,Iniciada,,-7
SIM-2026-0021,4,27-08-2026,primera,10,Iniciada,,-8
SIM-2025-0023,2,27-08-2026,primera,9,Iniciada,Terreno con problemas de acceso.,-6
SIM-2025-0023,2,27-08-2026,segunda,9,Iniciada,,-1
SIM-2025-0024,2,27-08-2026,primera,33,Iniciada,Se verificó avance conforme al cronograma.,-6
SIM-2024-0026,4,27-08-2026,primera,0,Iniciada,Equipo de trabajo reducido.,7
SIM-2024-0026,4,27-08-2026,segunda,6,Iniciada,,-2
SIM-2025-0027,1,27-08-2026,primera,75,Avanzada,Obra próxima a finalizar.,-4
SIM-2025-0027,1,27-08-2026,segunda,75,Avanzada,Calidad de construcción satisfactoria.,8
SIM-2026-0028,1,27-08-2026,primera,0,Iniciada,,14
SIM-2026-0033,1,27-08-2026,primera,78,Avanzada,,-4
SIM-2026-0033,1,27-08-2026,segunda,78,Avanzada,"Terminaciones en curso, sin observaciones.",-4
SIM-2026-0034,2,27-08-2026,primera,0,Iniciada,Obra paralizada por falta de materiales.,7
SIM-2026-0037,2,27-08-2026,primera,32,Iniciada,,6
SIM-2026-0037,2,27-08-2026,segunda,43,Avanzada,,-5
SIM-2025-0048,3,27-08-2026,primera,78,Avanzada,,-4
SIM-2023-0053,2,27-08-2026,primera,0,Iniciada,Terreno con problemas de acceso.,13
SIM-2023-0053,2,27-08-2026,segunda,6,Iniciada,Sin actividad registrada en visita.,-3
SIM-2025-0055,5,27-08-2026,primera,59,Avanzada,Obra en progreso normal.,10
SIM-2025-0056,1,27-08-2026,primera,0,Iniciada,Obra paralizada por falta de materiales.,8
SIM-2025-0056,1,27-08-2026,segunda,5,Iniciada,Equipo de trabajo reducido.,0
SIM-2025-0058,1,27-08-2026,primera,72,Avanzada,"Terminaciones en curso, sin observaciones.",0
SIM-2025-0058,1,27-08-2026,segunda,72,Avanzada,,3
SIM-2025-0060,1,27-08-2026,primera,40,Avanzada,,6
SIM-2025-0060,1,27-08-2026,segunda,50,Avanzada,"Materiales en obra, trabajo activo.",-4
SIM-2026-0061,6,27-08-2026,primera,5,Iniciada,Sin actividad registrada en visita.,10
SIM-2026-0061,6,27-08-2026,segunda,5,Iniciada,Obra paralizada por falta de materiales.,10
SIM-2026-0062,1,27-08-2026,primera,17,Iniciada,,0
SIM-2026-0062,1,27-08-2026,segunda,17,Iniciada,Terreno con problemas de acceso.,8
SIM-2026-0063,3,27-08-2026,primera,66,Avanzada,,3
SIM-2025-0064,6,27-08-2026,primera,13,Iniciada,Sin actividad registrada en visita.,0
SIM-2026-0065,1,27-08-2026,primera,33,Iniciada,,13
SIM-2026-0070,2,27-08-2026,primera,55,Avanzada,,-4
SIM-2026-0070,2,27-08-2026,segunda,55,Avanzada,Obra en progreso normal.,-3
SIM-2026-0071,5,27-08-2026,primera,6,Iniciada,,-1
SIM-2025-0072,1,27-08-2026,primera,66,Avanzada,,-8
SIM-2025-0072,1,27-08-2026,segunda,66,Avanzada,"Materiales en obra, trabajo activo.",-3
SIM-2026-0075,4,27-08-2026,primera,46,Avanzada,,2
SIM-2026-0075,4,27-08-2026,segunda,50,Avanzada,Obra en progreso normal.,-2
SIM-2026-0077,1,27-08-2026,primera,24,Iniciada,,15
SIM-2026-0077,1,27-08-2026,segunda,42,Avanzada,"Materiales en obra, trabajo activo.",-3
SIM-2025-0083,3,27-08-2026,primera,37,Avanzada,,-7
SIM-2026-0085,1,27-08-2026,primera,21,Iniciada,Equipo de trabajo reducido.,-2
SIM-2025-0087,1,27-08-2026,primera,55,Avanzada,Se verificó avance conforme al cronograma.,14
SIM-2026-0092,1,27-08-2026,primera,10,Iniciada,Equipo de trabajo reducido.,8
SIM-2025-0094,1,27-08-2026,primera,10,Iniciada,,9
SIM-2025-0094,1,27-08-2026,segunda,21,Iniciada,,-2
SIM-2025-0095,4,27-08-2026,primera,53,Avanzada,,-3
SIM-2025-0096,1,27-08-2026,primera,58,Avanzada,,4
SIM-2025-0096,1,27-08-2026,segunda,58,Avanzada,,8
SIM-2025-0097,1,27-08-2026,primera,4,Iniciada,Terreno con problemas de acceso.,5
SIM-2025-0098,1,27-08-2026,primera,3,Iniciada,,12
SIM-2025-0099,4,27-08-2026,primera,81,Avanzada,Obra próxima a finalizar.,-3
SIM-2025-0099,4,27-08-2026,segunda,82,Avanzada,,-4
SIM-2025-0101,5,27-08-2026,primera,43,Avanzada,"Materiales en obra, trabajo activo.",14
SIM-2026-0102,1,27-08-2026,primera,28,Iniciada,,3
SIM-2026-0106,4,27-08-2026,primera,14,Iniciada,,15
SIM-2026-0106,4,27-08-2026,segunda,19,Iniciada,Terreno con problemas de acceso.,10
SIM-2025-0108,1,27-08-2026,primera,39,Avanzada,"Materiales en obra, trabajo activo.",15
SIM-2025-0108,1,27-08-2026,segunda,48,Avanzada,Se verificó avance conforme al cronograma.,6
SIM-2025-0109,2,27-08-2026,primera,27,Iniciada,Sin actividad registrada en visita.,4
SIM-2026-0110,4,27-08-2026,primera,4,Iniciada,Obra paralizada por falta de materiales.,4
SIM-2025-0112,1,27-08-2026,primera,64,Avanzada,,4
SIM-2026-0115,1,27-08-2026,primera,84,Avanzada,Calidad de construcción satisfactoria.,-8
SIM-2025-0116,2,27-08-2026,primera,80,Avanzada,Obra próxima a finalizar.,-3
SIM-2025-0116,2,27-08-2026,segunda,80,Avanzada,Obra próxima a finalizar.,-1
SIM-2024-0118,1,27-08-2026,primera,39,Avanzada,"Materiales en obra, trabajo activo.",4
SIM-2024-0118,1,27-08-2026,segunda,42,Avanzada,"Materiales en obra, trabajo activo.",1
SIM-2025-0120,2,27-08-2026,primera,78,Avanzada,,5
SIM-2025-0120,2,27-08-2026,segunda,87,Avanzada,Obra próxima a finalizar.,-4
SIM-2025-0121,1,27-08-2026,primera,65,Avanzada,,2
SIM-2025-0125,1,27-08-2026,primera,15,Iniciada,,8
SIM-2025-0127,5,27-08-2026,primera,36,Avanzada,,-8
SIM-2025-0128,1,27-08-2026,primera,23,Iniciada,,1
SIM-2025-0128,1,27-08-2026,segunda,26,Iniciada,,-2
SIM-2026-0130,1,27-08-2026,primera,25,Iniciada,,2
SIM-2026-0134,1,27-08-2026,primera,64,Avanzada,Se verificó avance conforme al cronograma.,7
SIM-2026-0134,1,27-08-2026,segunda,69,Avanzada,Se verificó avance conforme al cronograma.,2
SIM-2025-0135,6,27-08-2026,primera,61,Avanzada,,2
SIM-2025-0138,2,27-08-2026,primera,91,Avanzada,,0
SIM-2026-0141,3,27-08-2026,primera,17,Iniciada,,-2
SIM-2025-0142,1,27-08-2026,primera,4,Iniciada,,10
SIM-2025-0142,1,27-08-2026,segunda,12,Iniciada,,2
SIM-2025-0145,4,27-08-2026,primera,15,Iniciada,Obra paralizada por falta de materiales.,10
SIM-2025-0145,4,27-08-2026,segunda,27,Iniciada,Equipo de trabajo reducido.,-2
SIM-2025-0146,1,27-08-2026,primera,28,Iniciada,,-6
SIM-2025-0146,1,27-08-2026,segunda,28,Iniciada,Sin actividad registrada en visita.,3
SIM-2026-0147,6,27-08-2026,primera,17,Iniciada,,0
SIM-2026-0147,6,27-08-2026,segunda,21,Iniciada,Equipo de trabajo reducido.,-4
SIM-2026-0149,1,27-08-2026,primera,56,Avanzada,"Materiales en obra, trabajo activo.",2
SIM-2026-0149,1,27-08-2026,segunda,59,Avanzada,,-1
SIM-2026-0152,1,27-08-2026,primera,3,Iniciada,,2
SIM-2026-0152,1,27-08-2026,segunda,4,Iniciada,,1
SIM-2025-0153,1,27-08-2026,primera,59,Avanzada,Obra en progreso normal.,-5
SIM-2025-0159,6,27-08-2026,primera,25,Iniciada,Sin actividad registrada en visita.,8
SIM-2025-0159,6,27-08-2026,segunda,38,Avanzada,Obra en progreso normal.,-5
SIM-2025-0160,1,27-08-2026,primera,19,Iniciada,Sin actividad registrada en visita.,-8
SIM-2025-0160,1,27-08-2026,segunda,19,Iniciada,,9
SIM-2026-0164,1,27-08-2026,primera,0,Iniciada,,4
SIM-2026-0164,1,27-08-2026,segunda,0,Iniciada,Terreno con problemas de acceso.,5
SIM-2025-0165,2,27-08-2026,primera,60,Avanzada,,-2
SIM-2026-0166,1,27-08-2026,primera,46,Avanzada,Obra en progreso normal.,-4
SIM-2026-0166,1,27-08-2026,segunda,46,Avanzada,,5
SIM-2025-0167,1,27-08-2026,primera,71,Avanzada,,2
SIM-2025-0167,1,27-08-2026,segunda,78,Avanzada,,-5
SIM-2026-0169,1,27-08-2026,primera,63,Avanzada,"Materiales en obra, trabajo activo.",4
SIM-2026-0170,3,27-08-2026,primera,4,Iniciada,Obra paralizada por falta de materiales.,1
SIM-2025-0171,3,27-08-2026,primera,54,Avanzada,,14
SIM-2026-0175,6,27-08-2026,primera,60,Avanzada,,-5
SIM-2026-0176,1,27-08-2026,primera,18,Iniciada,,3
SIM-2026-0176,1,27-08-2026,segunda,18,Iniciada,Obra paralizada por falta de materiales.,8
